trial,controller,passed,final_altitude_m,max_altitude_m,max_tilt_deg,final_tilt_deg,max_lateral_m,final_lateral_m,max_angular_rate_radps,min_body_z,saturation_fraction,mass_kg,inertia_scale,thrust_n,wind_x_mps,wind_y_mps,wind_speed_mps,thrust_misalign_deg,thrust_offset_x_m,cp_z_m,cn_alpha,max_gimbal_deg
0,open_loop,0,-4.63017,8.34749,179.488,52.6674,26.7346,26.7346,5.17729,-0.99996,0,47.6423,0.967079,839.259,-5.95403,3.48627,6.89961,0.462275,0.00345555,0.475469,2.02033,5.14758
0,pd_tvc,1,34.8107,34.8107,5.01856,5.01856,5.85012,5.85012,0.21827,0.996166,0,47.6423,0.967079,839.259,-5.95403,3.48627,6.89961,0.462275,0.00345555,0.475469,2.02033,5.14758
0,lqr_tvc,1,34.885,34.885,4.09397,4.09397,4.88258,4.88258,0.194566,0.997448,0,47.6423,0.967079,839.259,-5.95403,3.48627,6.89961,0.462275,0.00345555,0.475469,2.02033,5.14758
1,open_loop,0,24.53,24.53,159.902,159.253,19.8831,19.8831,4.3232,-0.939109,0,48.1339,0.892622,840.214,3.92078,3.67723,5.37537,0.428603,0.00166408,0.42542,2.7357,4.46741
1,pd_tvc,1,34.2569,34.2569,3.28694,2.23191,3.16347,3.16347,0.165338,0.998355,0,48.1339,0.892622,840.214,3.92078,3.67723,5.37537,0.428603,0.00166408,0.42542,2.7357,4.46741
1,lqr_tvc,1,34.2839,34.2839,2.65982,1.83943,2.5474,2.5474,0.150464,0.998923,0,48.1339,0.892622,840.214,3.92078,3.67723,5.37537,0.428603,0.00166408,0.42542,2.7357,4.46741
2,open_loop,0,14.2444,15.9953,173.569,128.25,25.4197,25.4197,4.78291,-0.993707,0,49.1823,0.94569,830.094,3.04121,-1.85933,3.56455,0.840575,0.00248887,0.307811,2.24915,4.61408
2,pd_tvc,1,31.3524,31.3524,7.01558,5.93698,7.2326,7.2326,0.341568,0.992513,0,49.1823,0.94569,830.094,3.04121,-1.85933,3.56455,0.840575,0.00248887,0.307811,2.24915,4.61408
2,lqr_tvc,1,31.4903,31.4903,5.62308,4.82272,5.8684,5.8684,0.306397,0.995188,0,49.1823,0.94569,830.094,3.04121,-1.85933,3.56455,0.840575,0.00248887,0.307811,2.24915,4.61408
3,open_loop,0,3.23883,11.3559,179.086,26.9897,26.4604,26.4604,4.85352,-0.999873,0,49.9244,0.982195,868.571,-1.07913,-0.79784,1.34204,1.80892,0.00334763,0.216818,2.65578,5.82156
3,pd_tvc,1,31.7039,31.7039,16.365,15.0095,17.9751,17.9751,0.775108,0.959486,0,49.9244,0.982195,868.571,-1.07913,-0.79784,1.34204,1.80892,0.00334763,0.216818,2.65578,5.82156
3,lqr_tvc,1,32.5287,32.5287,13.01,12.1194,14.6578,14.6578,0.688189,0.974331,0,49.9244,0.982195,868.571,-1.07913,-0.79784,1.34204,1.80892,0.00334763,0.216818,2.65578,5.82156
4,open_loop,0,7.51639,12.5212,177.036,86.1465,26.1764,26.1764,4.65092,-0.998662,0,51.9154,1.06819,869.616,3.36163,-1.86528,3.84445,1.66479,0.00326497,0.241529,2.1137,5.2412
4,pd_tvc,1,29.3455,29.3455,15.0425,13.27,15.4147,15.4147,0.696855,0.965733,0,51.9154,1.06819,869.616,3.36163,-1.86528,3.84445,1.66479,0.00326497,0.241529,2.1137,5.2412
4,lqr_tvc,1,29.9979,29.9979,11.8631,10.7352,12.4627,12.4627,0.605724,0.978642,0,51.9154,1.06819,869.616,3.36163,-1.86528,3.84445,1.66479,0.00326497,0.241529,2.1137,5.2412
5,open_loop,0,33.9343,33.9343,69.662,69.662,8.74451,8.74451,1.69636,0.347557,0,48.6074,0.924451,862.847,2.21894,-2.46832,3.31908,1.32185,0.000590481,0.273828,2.90204,5.06891
5,pd_tvc,1,34.5036,34.5036,11.5882,9.86451,12.6935,12.6935,0.564999,0.979617,0,48.6074,0.924451,862.847,2.21894,-2.46832,3.31908,1.32185,0.000590481,0.273828,2.90204,5.06891
5,lqr_tvc,1,34.9014,34.9014,9.29397,8.04341,10.3481,10.3481,0.509939,0.986873,0,48.6074,0.924451,862.847,2.21894,-2.46832,3.31908,1.32185,0.000590481,0.273828,2.90204,5.06891
6,open_loop,0,-3.53336,8.18962,179.445,136.535,24.9946,24.9946,5.76962,-0.999953,0,47.6174,1.01653,855.82,0.809165,0.0438546,0.810352,1.44339,0.00555278,0.250996,2.9432,4.97287
6,pd_tvc,1,35.2076,35.2076,12.8085,11.1305,14.2643,14.2643,0.603818,0.975117,0,47.6174,1.01653,855.82,0.809165,0.0438546,0.810352,1.44339,0.00555278,0.250996,2.9432,4.97287
6,lqr_tvc,1,35.713,35.713,10.1642,9.06041,11.5885,11.5885,0.531521,0.984306,0,47.6174,1.01653,855.82,0.809165,0.0438546,0.810352,1.44339,0.00555278,0.250996,2.9432,4.97287
7,open_loop,0,-7.49577,6.74755,179.474,166.015,23.8517,23.8517,6.51795,-0.999958,0,48.7214,1.09081,869.829,-1.53702,0.811104,1.73791,2.00733,0.00689732,0.351982,2.33056,4.22274
7,pd_tvc,1,33.0846,33.0846,18.4902,16.2796,20.4688,20.4688,0.843315,0.948378,0,48.7214,1.09081,869.829,-1.53702,0.811104,1.73791,2.00733,0.00689732,0.351982,2.33056,4.22274
7,lqr_tvc,1,34.1598,34.1598,14.522,13.2544,16.6087,16.6087,0.729178,0.968051,0,48.7214,1.09081,869.829,-1.53702,0.811104,1.73791,2.00733,0.00689732,0.351982,2.33056,4.22274
8,open_loop,0,-0.461451,8.83863,177.903,109.38,24.8662,24.8662,6.00202,-0.99933,0,48.613,0.962196,837.798,3.72967,-1.05437,3.87584,1.33033,0.00485432,0.494882,1.83556,5.82194
8,pd_tvc,1,32.3131,32.3131,11.2289,9.04147,11.7493,11.7493,0.542986,0.980857,0,48.613,0.962196,837.798,3.72967,-1.05437,3.87584,1.33033,0.00485432,0.494882,1.83556,5.82194
8,lqr_tvc,1,32.6695,32.6695,8.97764,7.41518,9.55149,9.55149,0.484809,0.987749,0,48.613,0.962196,837.798,3.72967,-1.05437,3.87584,1.33033,0.00485432,0.494882,1.83556,5.82194
9,open_loop,0,23.871,23.871,132.704,132.704,18.3339,18.3339,2.78664,-0.678216,0,49.8258,0.912288,839.356,6.52247,2.09836,6.85169,2.02171,0.0022019,0.231546,2.44046,5.78536
9,pd_tvc,1,29.2739,29.2739,17.0892,14.8175,17.3486,17.3486,0.832335,0.955849,0,49.8258,0.912288,839.356,6.52247,2.09836,6.85169,2.02171,0.0022019,0.231546,2.44046,5.78536
9,lqr_tvc,1,30.081,30.081,13.6956,12.0265,14.1108,14.1108,0.753511,0.971567,0,49.8258,0.912288,839.356,6.52247,2.09836,6.85169,2.02171,0.0022019,0.231546,2.44046,5.78536
10,open_loop,0,-1.55498,7.98453,173.671,125.338,24.9727,24.9727,6.33476,-0.993905,0,52.4511,0.923998,878.056,4.04544,-2.82146,4.93216,0.239299,0.00467795,0.419624,2.60964,4.27605
10,pd_tvc,1,31.1159,31.1159,1.81092,1.09108,1.53137,1.53137,0.0908898,0.999501,0,52.4511,0.923998,878.056,4.04544,-2.82146,4.93216,0.239299,0.00467795,0.419624,2.60964,4.27605
10,lqr_tvc,1,31.1231,31.1231,1.46262,0.895129,1.2156,1.2156,0.0820567,0.999674,0,52.4511,0.923998,878.056,4.04544,-2.82146,4.93216,0.239299,0.00467795,0.419624,2.60964,4.27605
11,open_loop,0,16.6404,18.1236,179.1,131.52,24.7765,24.7765,4.31475,-0.999877,0,49.3659,0.880444,864.958,0.509857,0.265649,0.574912,2.1547,0.00191276,0.229993,2.57739,4.34124
11,pd_tvc,1,31.3348,31.3348,19.2208,17.4588,21.201,21.201,0.939145,0.944257,0,49.3659,0.880444,864.958,0.509857,0.265649,0.574912,2.1547,0.00191276,0.229993,2.57739,4.34124
11,lqr_tvc,1,32.4595,32.4595,15.4098,14.1002,17.386,17.386,0.857502,0.96405,0,49.3659,0.880444,864.958,0.509857,0.265649,0.574912,2.1547,0.00191276,0.229993,2.57739,4.34124
