time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,wx_radps,wy_radps,wz_radps,q_norm,tilt_deg,signed_pitch_deg,signed_yaw_deg,body_z_x,body_z_y,body_z_z,lateral_m,mass_kg,propellant_fraction,thrust_n,thrust_to_mass_mps2,inertia_x_kg_m2,inertia_y_kg_m2,inertia_z_kg_m2,center_of_mass_z_m,cmd_gimbal_total_deg,ach_gimbal_total_deg,gimbal_lag_error_deg,requested_torque_norm_nm,achievable_torque_norm_nm,available_tvc_torque_nm,torque_authority_margin_nm,rate_limited,position_limited,saturated
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,1.0,790.0,15.8,3.15,3.15,0.48,-0.07999999999999999,1.4994862221762746,0.0,1.4994862221762746,0.0,0.0,82.62364412477994,82.62364412477994,0,0,0
0.005,3.2394470707649534e-07,8.098617676912383e-08,7.503560967885798e-05,0.00012960334418172885,3.240083604543221e-05,0.030037991346846774,0.9999999999995006,-2.423855608590711e-07,9.695422434362845e-07,0.0,-0.0001939056956054135,0.000775622782421654,0.0,1.0,0.00011452029718394661,0.00011110135721711628,2.777533930431171e-05,1.9390844868716008e-06,4.847711217179002e-07,0.9999999999980025,3.3391456103404075e-07,49.99835451100081,0.9997943138751016,791.4,15.82852091314072,3.149876588325061,3.149876588325061,0.47997943138751015,-0.0799629764975183,1.5009972823429714,0.10006648548953141,1.4009307968534397,0.02583359439455787,1.6586054406837785,82.770065772596,82.74423217820144,0,0,0
0.01,1.642087400492034e-06,3.242236853198815e-07,0.00030061709654582904,0.0003976846969904387,6.491346888552621e-05,0.06021835314166034,0.9999999999993597,-9.686870775086562e-07,5.850580368215591e-07,1.3292350801238581e-12,-0.000387133240370629,-0.001084016429791966,3.6766736572845427e-25,1.0,0.00012967526066708549,6.704271256012034e-05,0.00011100336242037958,1.1701160736397938e-06,1.9373741550176274e-06,0.9999999999974388,1.6737897206570159e-06,49.99670610852673,0.9995882635658415,792.8,15.857044627681807,3.149752958139505,3.149752958139505,0.47995882635658416,-0.07992588744185147,1.497413369691828,0.19322294284132854,1.304190428563835,0.03669620360650071,3.208338066548143,82.91648742041207,82.87979121680557,0,0,0
0.015,4.622746761503552e-06,7.305486798273943e-07,0.0006774558277490627,0.000794443865237466,9.764879605944324e-05,0.09054089221674447,0.9999999999693135,-2.1764226512643396e-06,-7.525706366946032e-06,1.141910771749537e-11,-0.0005790533252460133,-0.005406141361197846,-2.9414021479415345e-24,1.0,0.0008977213704055133,-0.0008623824253785948,0.00024939966471977616,-1.5051412733479894e-05,4.3528453022232324e-06,0.9999999998772541,4.6801163441296124e-06,49.995054792577754,0.9993818490722195,794.2,15.885571148887042,3.1496291094433317,3.1496291094433317,0.47993818490722195,-0.07988873283299949,1.4889780725910515,0.27960661332944736,1.209371470062055,0.1759607891258249,4.650870122472621,83.06290906822814,82.88694827910231,0,0,0
0.02,9.883106056286471e-06,1.3013479172616572e-06,0.0012062623384076919,0.0013092370944332282,0.00013071612048893552,0.12100546961017497,0.9999999995631129,-3.861575685774934e-06,-2.930635508775444e-05,4.906105664106894e-11,-0.0007690675183208525,-0.012020609651768311,6.32806325033676e-29,1.0,0.0033872888128005044,-0.0033582609194576936,0.0004425039785368954,-5.8612710150280656e-05,7.72315136530012e-06,0.9999999982524517,9.968414704533895e-06,49.993400563153884,0.9991750703942358,795.6,15.914100482021878,3.1495050422365414,3.1495050422365414,0.4799175070394236,-0.07985151267096244,1.4759359027085284,0.3593618895057729,1.116574047497536,0.3935407955064606,5.988010576330747,83.2093307160442,82.81578992053774,0,0,0
0.025,1.7985175957899138e-05,2.038550164745734e-06,0.001887746603231402,0.0019306492431473191,0.00016422290429347192,0.15161200059565993,0.99999999751234,-6.0186723659956196e-06,-7.027869922237871e-05,1.4871570825811065e-10,-0.0009566084957539106,-0.020760130398880167,2.3533308253888458e-23,1.0,0.008082824233934839,-0.008053345717392814,0.0006896890536032981,-0.00014055739809688855,1.2037344681143324e-05,0.9999999900493601,1.8100338146310363e-05,49.99174342025512,0.9989679275318903,797.0,15.942632632353448,3.1493807565191343,3.1493807565191343,0.479896792753189,-0.07981422695574025,1.4585317521701862,0.4326398637719106,1.025891969699047,0.6848737989740874,7.221698302140543,83.35575236386026,82.67087856488618,0,0,0
0.030000000000000002,2.9432115535486596e-05,2.9446164110086152e-06,0.002722618304311636,0.002646564858117973,0.00019827453664772798,0.18236045312466492,0.999999990775747,-8.640859610991726e-06,-0.00013555014370353075,3.63951773659595e-10,-0.001141140194564984,-0.03146047091935359,7.060081396838893e-23,1.0,0.015564430301823395,-0.015532902342874768,0.0009901695957986838,-0.00027110028491265356,1.7281718963905073e-05,0.9999999631029881,2.9579049861383525e-05,49.99008336388147,0.9987604204851831,798.4,15.971167605150567,3.1492562522911096,3.1492562522911096,0.4798760420485183,-0.07977687568733294,1.4370103670785837,0.49959787194390987,0.9374126591354243,1.0461604995423346,8.353995140907172,83.50217401167633,82.45601351213399,0,0,0
0.035,4.4664905625096424e-05,4.02252895219577e-06,0.0037115870874136255,0.0034442380351540824,0.00023297411569430266,0.21325084479165307,0.999999973522342,-1.1719983304165575e-05,-0.0002298215770308858,7.700895457680108e-10,-0.0013221578896495524,-0.043960652535423944,7.060081396838893e-23,1.0,0.026369834904176128,-0.026335613048113563,0.0013430112447375866,-0.00045964314190954827,2.3439965633729343e-05,0.9999998940893695,4.484567463724928e-05,49.988420394032914,0.998552549254114,799.8,15.999705405683745,3.1491315295524682,3.1491315295524682,0.47985525492541137,-0.07973945886574049,1.4116158381809232,0.5603990332850024,0.8512171040573864,1.4736472203025155,9.387078861250743,83.64859565949239,82.17494843918988,0,0,0
0.04,6.405936824189698e-05,5.2757794222417e-06,0.004855362799697656,0.004310360959010573,0.00026842224447583686,0.2442832384507792,0.9999999360179115,-1.5246666610311565e-05,-0.000357395735948154,1.4661203475067376e-09,-0.001499188197457403,-0.05810313522333297,7.060081396838893e-23,1.0,0.04099178539021408,-0.040954535460309964,0.0017471395715988921,-0.0007147914262071636,3.0493330221625663e-05,0.9999997440716542,6.427625150911579e-05,49.98675451070947,0.9983443138386832,801.2,16.028246039225174,3.1490065883032097,3.1490065883032097,0.4798344313838683,-0.07970197649096294,1.3825911093976613,0.6152117884303187,0.7673798314333357,1.9635847850463812,10.323236041010862,83.79501730730847,81.83143252226209,0,0,0
0.045,8.792352517987259e-05,6.7083558377201e-06,0.006154655702475972,0.005231131023607262,0.0003047168408074462,0.27545773662641915,0.9999998634763532,-1.9210388195373986e-05,-0.00052218601669633,2.5759697712376493e-09,-0.0016717890088427444,-0.07373399099663182,-1.1769777221904835e-22,1.0,0.05987859082666709,-0.05983811251311515,0.0022013490791900265,-0.001044371890910152,3.842076845513267e-05,0.99999945390545,8.817906961462659e-05,49.985085713911126,0.9981357142388906,802.6,16.056789511048734,3.1488814285433344,3.1488814285433344,0.47981357142388903,-0.0796644285630003,1.3501775048469735,0.664209436574519,0.6859689005236561,2.5122271832353653,11.164854890146511,83.94143895512454,81.42921177188917,0,0,0
0.049999999999999996,0.00011649528847215015,8.324728726595687e-06,0.007610176653351695,0.006192316442072098,0.0003419529609725536,0.3067744748706736,0.9999997349291451,-2.3599560171788776e-05,-0.0007277257041369219,4.24916905400659e-09,-0.0018395493536492368,-0.09070306592833913,-1.1769777221904835e-22,1.0,0.08343506813253827,-0.08339123042207452,0.0027043121865685956,-0.0014554510226766518,4.719910164800729e-05,0.9999989397167207,0.00011679235139588932,49.98341400363789,0.9979267504547362,804.0,16.08533582643001,3.1487560502728416,3.1487560502728416,0.4797926750454736,-0.07962681508185251,1.3146142749263046,0.7075696732386451,0.6070459174214438,3.115836773122987,11.914418034405855,84.0878606029406,80.9720238298176,0,0,0
0.05499999999999999,0.00014994047495230932,1.0129836409634377e-05,0.009222637252872088,0.0071793202640096,0.0003802226370926946,0.3382336142286385,0.9999995221585393,-2.840160559971766e-05,-0.0009771775898140863,6.660995471632736e-09,-0.0020020891996398006,-0.10886413074683741,-3.0600864885202e-22,1.0,0.11202360845989631,-0.11197632143998282,0.0032545881806757154,-0.0019543542461346046,5.6803171038554906e-05,0.9999980886346137,0.0001502822664675046,49.98173937988976,0.9977174224862201,805.4,16.113884990646284,3.148630453491732,3.148630453491732,0.47977174224862196,-0.0795891360475196,1.276138161940239,0.7454741298764367,0.5306660719226344,3.7706909780291813,12.574495278425289,84.23428225075665,80.46359127272747,0,0,0
0.05999999999999999,0.00018835113676314992,1.2129069502411224e-05,0.010992749951645326,0.008177242725030981,0.0004196147279944373,0.3698353329769734,0.9999991887326816,-3.360303538221921e-05,-0.0012733439499110414,1.0012139224250537e-08,-0.0021590591884191983,-0.1280750199698623,-8.709823969985289e-22,1.0,0.14596530724053922,-0.1459145081136346,0.003850632117423888,-0.002546685834450296,6.720599074455579e-05,0.9999967549320427,0.00018874126482294518,49.980061842666736,0.9975077303333421,806.8,16.142437008976543,3.1485046382000053,3.1485046382000053,0.4797507730333342,-0.07955139146000156,1.2349829856945318,0.7781079165230522,0.4568782004275107,4.47308929479935,13.147736366129376,84.38070389857272,79.90761460377337,0,0,0
0.06499999999999999,0.00023174419930282555,1.4328254704913076e-05,0.012921228114703734,0.009170941860860383,0.00046021478337388374,0.4015798178033375,0.9999986891738525,-3.9189524400342086e-05,-0.0016186768540505732,1.4527950941200497e-08,-0.0023101403110282514,-0.14819775956918346,-1.0593097246841083e-21,1.0,0.1855411402533345,-0.18548678575727914,0.004490803654584017,-0.003237349465631944,7.837889902726172e-05,0.9999947566988469,0.0002321867196749129,49.97838139196882,0.9972976739961024,808.2,16.170991886701483,3.1483786043976614,3.1483786043976614,0.4797297673996102,-0.07951358131929842,1.1913792494102455,0.805659168630732,0.38572488428585855,5.219360254362483,13.636863755540253,84.5271255463888,79.30776529202632,0,0,0
0.06999999999999999,0.0002800603977770706,1.673363794468803e-05,0.015008786040734044,0.010145092325197329,0.0005021049210408931,0.43346725459380586,0.9999979682844305,-4.514598674217569e-05,-0.0020152887759860164,2.0457320666726445e-08,-0.002455043525913054,-0.16909868318562768,-1.812668534997326e-21,1.0,0.23099317791965085,-0.23093523985983822,0.005173375798684703,-0.004030569364831998,9.02917075819256e-05,0.9999918731459787,0.0002805598706905799,49.976698027796004,0.9970872534745009,809.6,16.199549629103494,3.1482523520847003,3.1482523520847003,0.47970872534745007,-0.07947570562541015,1.145553766251047,0.8283185991766664,0.3172426084398575,6.005868201193552,14.044665424365999,84.67354719420486,78.66767899301131,0,0,0
0.075,0.0003331635032382919,1.935186693836704e-05,0.01725613893462489,0.011084242356933666,0.0005453637170107299,0.4654978189926551,0.999996960649015,-5.1456649887967914e-05,-0.0024649634774200377,2.8071236010392015e-08,-0.0025935093219915132,-0.19064853693999015,-1.0592932022975174e-21,1.0,0.28252583268621445,-0.28246429515227695,0.005896543548021435,-0.004929911973950632,0.00010291284859715373,0.9999878426145365,0.000333725058459822,49.9750117501483,0.9968764687685376,811.0,16.228110241466695,3.1481258812611226,3.1481258812611226,0.4796876468768537,-0.07943776437833677,1.097729306702938,0.8462790570683524,0.25146205303242924,6.82901983389887,14.37398772201784,84.81996884202093,77.99094900812206,0,0,0
0.08,0.00039083982873528,2.2189973235192808e-05,0.019664002832592505,0.011972868848275878,0.0005900661081997884,0.49767166689413617,0.9999955903254316,-5.8105127721444755e-05,-0.0029691671364648516,3.7661064066289714e-08,-0.0027253072295536154,-0.21272257291014238,-3.0586818222890025e-22,1.0,0.34030713552771763,-0.34024199307811176,0.006658432413817435,-0.005938308091184683,0.000116209519349494,0.9999823613406198,0.0003914692409858041,49.9733225590257,0.9966653198782126,812.4,16.256673729076915,3.1479991919269272,3.1479991919269272,0.4796665319878213,-0.07939975757807827,1.0481242670021997,0.8597350928112935,0.18840876899504086,7.6852704781141865,14.627728283005727,84.96639048983698,77.28112001172279,0,0,0
0.085,0.0004527980059688802,2.5255353804952778e-05,0.022233094479928033,0.012795430470809046,0.0006362833074738544,0.5299889250192604,0.9999937707320952,-6.507449224538049e-05,-0.0035290596926093295,4.953659873010757e-08,-0.0028502352817415936,-0.2352006313683051,-3.0586818222890025e-22,1.0,0.40447003805856396,-0.4044012944335676,0.0074571068016187495,-0.007058075424749242,0.00013014782412264128,0.999975083005993,0.00045350178291293124,49.97163045442821,0.9964538068035258,813.8,16.285240097221713,3.1478722840821156,3.1478722840821156,0.47964538068035256,-0.07936168522463463,0.9969523587789875,0.8688825323432672,0.12810536551117177,8.571130075547435,14.808829015977494,85.11281213765305,76.54168206210562,0,0,0
0.09000000000000001,0.000518669022646839,2.8555752231439868e-05,0.024964131162155026,0.013536418821569543,0.0006840827307914915,0.5624496817224361,0.9999914047344144,-7.234734388721904e-05,-0.004145506380475702,6.402391217849692e-08,-0.002968119429362094,-0.25796721189502597,-3.0586818222890025e-22,1.0,0.47511373677938534,-0.47504140397405004,0.008290578235173358,-0.00829094150675867,0.00014469291326209494,0.9999656190854227,0.0005194545081515132,49.96993543635582,0.9962419295444772,815.2,16.313809351190358,3.1477451577266864,3.1477451577266864,0.4796241929544477,-0.0793235473180059,0.9444223200782778,0.8739180598788243,0.07058329036248061,9.483168879246792,14.920269181997936,85.25923378546912,75.77606490622233,0,0,0
0.09500000000000001,0.0005880065105529947,3.2099239571266564e-05,0.027857830491086664,0.014180407555794758,0.0007335279361810744,0.5950539781632279,0.9999883849286233,-7.990588028809952e-05,-0.004819089425121162,8.146304652504908e-08,-0.0030788129117848713,-0.2809115335079079,1.201181389081165e-21,1.0,0.5523050162693646,-0.552229113820068,0.00915681340536026,-0.009638066915125788,0.00015980911919578103,0.9999535399843261,0.0005888820065461014,49.968237504808535,0.9960296881010667,816.6,16.342381496273852,3.14761781286064,3.14761781286064,0.47960296881010667,-0.079285343858192,0.890737647949156,0.8750388105475094,0.016125729040077356,10.418022848686608,14.96505857500967,85.40565543328519,74.98763258459859,0,0,0
0.10000000000000002,0.0006602872741899485,3.5894194936543137e-05,0.030914910147922282,0.01471209947722515,0.0007846785742872008,0.6278017999677875,0.9999845941175778,-8.77319634759625e-05,-0.005550119872157957,1.022055790342878e-07,-0.0031821955866817675,-0.30392758396358405,2.7082977114148586e-21,1.0,0.6360796081249663,-0.6360001625382187,0.0100537420272138,-0.011100068753260948,0.00017546008926886655,0.9999383769450145,0.0006612621852845774,49.96653665978636,0.9958170824732946,818.0,16.37095653776492,3.147490249483977,3.147490249483977,0.47958170824732943,-0.07924707484519303,0.8360963528784443,0.8724419735498388,0.036571807677891886,11.372398740506393,14.946230816777792,85.55207708110125,74.17967834059485,0,0,0
0.10500000000000002,0.0007349120497184653,3.994928585860404e-05,0.034136087586116706,0.015116371560689953,0.0008375903502202387,0.6606930694928318,0.9999799059696887,-9.580718533049184e-05,-0.00633864952652061,1.26612091760929e-07,-0.0032781732213559194,-0.3269141584108464,4.475061804045271e-22,1.0,0.7264435625436425,-0.72636060682104,0.010979264488738733,-0.012677044339270478,0.00019160891525666054,0.9999196246863266,0.0007359970558786282,49.964832901289284,0.9956041126611607,819.4,16.39953448095803,3.1473624675966962,3.1473624675966962,0.47956041126611604,-0.0792087402790089,0.780690735521758,0.8663244064967007,0.0857502441526744,12.343078892343629,14.866836777996266,85.69849872891731,73.35541983657369,0,0,0
0.11000000000000003,0.0008112064837994825,4.4273448488630986e-05,0.0375220796972897,0.015378317885262442,0.000892314996441155,0.6937276387926232,0.9999741858492477,-0.00010411293125447236,-0.007184482974292442,1.5504957408662423e-07,-0.0033666767484044355,-0.3497748875912137,-1.8133858683987566e-21,1.0,0.8233746295206931,-0.8232882027431416,0.011931259276032894,-0.014368595058217063,0.000208218259433089,0.9998967447297795,0.0008124137477907397,49.96312622931732,0.995390778664665,820.8,16.42811533114939,3.147234467198799,3.147234467198799,0.4795390778664665,-0.07917034015963967,0.7247071865202657,0.8568822615409766,0.13226652531180363,13.326925698458016,14.729938136627542,85.84492037673338,72.51799467827537,0,0,0
0.11500000000000003,0.000888422321844369,4.8875867689677794e-05,0.04107360244391287,0.01548329045957671,0.0009489002564121373,0.7269052833764392,0.9999672918039416,-0.00011263044197271548,-0.008087189662608695,1.878887843498416e-07,-0.003447661488448196,-0.37241825580058463,-3.060685706593534e-22,1.0,0.9268236466717442,-0.9267337936297414,0.012907590160220694,-0.016173850332771293,0.00022525047708380554,0.9998691693554892,0.000889765740177581,49.96141664387046,0.9951770804838075,822.2,16.45669909363693,3.1471062482902843,3.1471062482902843,0.47951770804838073,-0.07913187448708534,0.668326010809101,0.8443106238552824,0.176067823247985,14.320885776890517,14.538601083962597,85.99134202454945,71.67045624765893,0,0,0
0.12000000000000004,0.0009657387950948739,5.37659570732496e-05,0.04479137046291582,0.015416937924010582,0.001007389878741518,0.7602256968306782,0.9999590756933086,-0.00012134087338603113,-0.009046116013274009,2.255015946048757e-07,-0.003521106342650025,-0.3947576088419713,-3.060685706593534e-22,1.0,1.0367159307855094,-1.0366227016372986,0.013906113132840743,-0.01809149166922095,0.00024266773536265698,0.9998363061229336,0.0009672343038226577,49.9597041449487,0.9949630181185882,823.6,16.485285773720342,3.146977810871153,3.146977810871153,0.4794963018118588,-0.07909334326134587,0.6117212789683529,0.8288031629573687,0.21716379407381545,15.321993828803736,14.29589018833181,86.13776367236551,70.81576984356177,0,0,0
0.12500000000000003,0.001042264195885202,5.895333903222504e-05,0.04867609664469028,0.015165242117413212,0.0010678236215488596,0.7936884863662216,0.9999493844402797,-0.0001302253544138201,-0.010060397546363058,2.682583405008366e-07,-0.003587012957727152,-0.41671115221465643,-3.060685706593534e-22,1.0,1.152952670260891,-1.1528561202140222,0.014924683077608334,-0.020119776737288556,0.00026043212839813224,0.9997975428851325,0.0010439301462297538,49.95798873255206,0.9947485915690072,825.0,16.51387537670105,3.146849154941404,3.146849154941404,0.4794748591569007,-0.07905474648242128,0.5550607103443459,0.8105517973355754,0.2555759443350309,16.3273761914464,14.004862425877093,86.28418532018158,69.95680912873517,0,0,0
